hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3885.0,3504.0,3693.0,3120.0,2187.0,2147.0,2403.0,2000.0,-0.45,9.86,4.89,0.02,-0.04,-0.15,0.0,s
3889.0,3489.0,3694.0,3179.0,2194.0,2143.0,2405.0,1991.0,-0.63,9.88,5.02,0.01,-0.01,-0.15,0.0,s
3867.0,3504.0,3702.0,3158.0,2183.0,2150.0,2411.0,1995.0,-0.57,9.87,5.12,0.03,0.03,-0.15,0.0,s
3879.0,3497.0,3705.0,3177.0,2199.0,2142.0,2411.0,1998.0,-0.5,9.89,4.92,0.02,0.02,-0.16,0.0,s
3882.0,3495.0,3690.0,3175.0,2192.0,2144.0,2410.0,2000.0,-0.57,9.84,4.98,0.03,-0.02,-0.17,0.0,s
3875.0,3493.0,3702.0,3142.0,2191.0,2151.0,2409.0,2002.0,-0.5,9.87,4.9,0.03,-0.0,-0.15,0.0,s
3874.0,3507.0,3703.0,3120.0,2207.0,2159.0,2416.0,2000.0,-0.49,9.8,5.02,-0.01,-0.05,-0.17,0.0,s
3875.0,3489.0,3696.0,3129.0,2203.0,2150.0,2418.0,2000.0,-0.68,9.86,4.92,0.01,-0.03,-0.15,0.0,s
3863.0,3507.0,3694.0,3174.0,2202.0,2149.0,2414.0,2007.0,-0.55,9.89,4.97,0.0,0.0,-0.14,0.0,s
3897.0,3504.0,3687.0,3171.0,2215.0,2157.0,2413.0,2007.0,-0.45,9.83,5.03,0.01,-0.03,-0.15,0.0,s
3875.0,3511.0,3693.0,3171.0,2205.0,2155.0,2419.0,2006.0,-0.57,9.89,4.89,-0.02,-0.01,-0.14,0.0,s
3888.0,3504.0,3707.0,3165.0,2206.0,2160.0,2413.0,2015.0,-0.4,9.81,5.0,0.06,-0.01,-0.17,0.0,s
3871.0,3502.0,3693.0,3174.0,2208.0,2157.0,2390.0,2015.0,-0.63,9.89,5.05,0.03,-0.01,-0.15,0.0,s
3888.0,3493.0,3696.0,3165.0,2217.0,2151.0,2419.0,2007.0,-0.46,9.85,4.98,0.02,0.01,-0.16,0.0,s
3872.0,3490.0,3683.0,3164.0,2211.0,2159.0,2416.0,2022.0,-0.65,9.83,4.96,0.02,-0.01,-0.16,0.0,s
3858.0,3499.0,3692.0,3182.0,2214.0,2151.0,2420.0,2022.0,-0.42,9.84,4.92,0.0,0.01,-0.15,0.0,s
3872.0,3487.0,3679.0,3169.0,2214.0,2155.0,2421.0,2017.0,-0.44,9.88,5.01,0.0,-0.02,-0.15,0.0,s
3879.0,3494.0,3696.0,3142.0,2218.0,2162.0,2421.0,2013.0,-0.42,9.9,4.85,0.02,-0.05,-0.17,0.0,s
3874.0,3503.0,3696.0,3133.0,2222.0,2162.0,2417.0,2018.0,-0.55,9.75,5.04,0.02,-0.02,-0.15,0.0,s
3867.0,3510.0,3680.0,3143.0,2224.0,2159.0,2419.0,2021.0,-0.61,9.89,4.89,0.03,0.05,-0.14,0.0,s
3901.0,3498.0,3684.0,3136.0,2226.0,2160.0,2429.0,2021.0,-0.38,9.89,5.01,-0.02,-0.04,-0.14,0.0,s
3888.0,3499.0,3698.0,3152.0,2233.0,2160.0,2429.0,2027.0,-0.56,9.84,5.05,0.01,-0.02,-0.15,0.0,s
3883.0,3486.0,3687.0,3147.0,2245.0,2170.0,2422.0,2021.0,-0.5,9.88,5.03,0.0,-0.0,-0.14,0.0,s
3888.0,3508.0,3696.0,3151.0,2238.0,2181.0,2423.0,2027.0,-0.42,9.88,4.95,0.02,-0.0,-0.14,0.0,s
3863.0,3491.0,3685.0,3136.0,2235.0,2166.0,2423.0,2026.0,-0.45,9.87,5.04,0.02,-0.03,-0.16,0.0,s
3870.0,3485.0,3675.0,3151.0,2237.0,2165.0,2429.0,2026.0,-0.47,9.9,4.99,0.04,-0.02,-0.16,0.0,s
3885.0,3501.0,3685.0,3152.0,2233.0,2174.0,2418.0,2030.0,-0.54,9.84,4.99,0.04,-0.01,-0.15,0.0,s
3882.0,3489.0,3695.0,3155.0,2240.0,2167.0,2429.0,2033.0,-0.57,9.82,5.0,0.01,-0.02,-0.14,0.0,s
3858.0,3505.0,3680.0,3125.0,2241.0,2163.0,2432.0,2032.0,-0.41,9.91,4.94,0.03,-0.0,-0.14,0.0,s
3870.0,3499.0,3680.0,3172.0,2243.0,2166.0,2430.0,2032.0,-0.49,9.85,5.02,0.01,-0.0,-0.16,0.0,s
3859.0,3506.0,3710.0,3152.0,2249.0,2174.0,2430.0,2029.0,-0.44,9.87,4.9,0.02,0.01,-0.15,0.0,s
3858.0,3520.0,3696.0,3156.0,2241.0,2163.0,2427.0,2030.0,-0.57,9.85,5.0,0.02,0.0,-0.15,0.0,s
3869.0,3504.0,3679.0,3165.0,2239.0,2172.0,2431.0,2043.0,-0.27,9.87,4.9,0.04,-0.03,-0.16,0.0,s
3861.0,3500.0,3691.0,3162.0,2251.0,2167.0,2419.0,2032.0,-0.49,9.85,4.97,0.03,-0.04,-0.16,0.0,s
3869.0,3504.0,3703.0,3146.0,2250.0,2171.0,2431.0,2030.0,-0.41,9.83,4.89,0.02,-0.03,-0.16,0.0,s
3865.0,3505.0,3705.0,3142.0,2243.0,2172.0,2435.0,2030.0,-0.46,9.85,5.0,0.0,-0.02,-0.16,0.0,s
3856.0,3505.0,3703.0,3157.0,2252.0,2149.0,2435.0,2047.0,-0.35,9.93,4.96,0.03,0.01,-0.16,0.0,s
3888.0,3489.0,3687.0,3169.0,2251.0,2181.0,2430.0,2038.0,-0.48,9.83,4.87,0.02,-0.01,-0.17,0.0,s
3886.0,3491.0,3706.0,3171.0,2252.0,2175.0,2448.0,2034.0,-0.59,9.86,4.88,0.01,0.01,-0.15,0.0,s
3893.0,3487.0,3695.0,3173.0,2242.0,2166.0,2430.0,2032.0,-0.41,9.84,4.98,0.01,0.0,-0.15,0.0,s
3861.0,3518.0,3678.0,3152.0,2235.0,2174.0,2432.0,2038.0,-0.45,9.88,4.98,0.02,-0.0,-0.14,0.0,s
3984.0,3471.0,3722.0,3400.0,2484.0,2207.0,2416.0,2069.0,-0.98,9.83,3.92,0.02,0.01,-0.15,0.0,s
3952.0,3457.0,3721.0,3409.0,2483.0,2223.0,2419.0,2069.0,-0.87,9.83,3.98,0.01,-0.04,-0.16,0.0,s
3970.0,3459.0,3732.0,3414.0,2494.0,2218.0,2416.0,2064.0,-1.16,9.72,4.02,0.01,-0.05,-0.15,0.0,s
3955.0,3461.0,3727.0,3395.0,2481.0,2213.0,2415.0,2064.0,-0.67,9.72,4.06,0.02,-0.18,-0.13,0.0,s
3950.0,3445.0,3724.0,3405.0,2480.0,2229.0,2397.0,2071.0,-1.1,9.88,4.13,-0.02,0.06,-0.15,0.0,s
3952.0,3472.0,3728.0,3398.0,2491.0,2226.0,2429.0,2079.0,-1.21,9.79,4.07,0.05,-0.12,-0.14,0.0,s
3955.0,3466.0,3728.0,3399.0,2491.0,2215.0,2420.0,2081.0,-0.97,9.8,4.15,0.01,0.11,-0.13,0.0,s
3961.0,3458.0,3711.0,3403.0,2487.0,2222.0,2423.0,2073.0,-1.0,9.86,4.02,0.03,0.07,-0.15,0.0,s
3974.0,3455.0,3717.0,3414.0,2486.0,2228.0,2418.0,2074.0,-1.0,9.94,4.08,0.03,0.01,-0.14,0.0,s
3967.0,3465.0,3715.0,3399.0,2487.0,2227.0,2431.0,2070.0,-1.01,9.86,4.09,0.03,-0.06,-0.15,0.0,s
3969.0,3475.0,3730.0,3408.0,2494.0,2226.0,2418.0,2073.0,-0.95,9.79,4.07,0.06,0.02,-0.16,0.0,s
3984.0,3472.0,3745.0,3408.0,2500.0,2224.0,2421.0,2075.0,-0.98,9.88,3.91,0.02,0.03,-0.16,0.0,s
3983.0,3475.0,3723.0,3403.0,2495.0,2221.0,2422.0,2074.0,-1.08,9.86,4.11,0.02,-0.01,-0.17,0.0,s
