hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3041.0,4095.0,3469.0,3846.0,3415.0,3219.0,3344.0,3216.0,-3.54,8.96,5.89,0.01,-0.12,0.04,0.0,t
3026.0,4095.0,3457.0,3843.0,3415.0,3222.0,3347.0,3226.0,-3.47,8.9,6.34,-0.06,-0.21,-0.08,0.0,t
3050.0,4095.0,3454.0,3851.0,3415.0,3218.0,3344.0,3223.0,-3.52,8.9,6.43,-0.09,-0.14,-0.24,0.0,t
3030.0,4095.0,3451.0,3840.0,3409.0,3218.0,3344.0,3229.0,-3.98,8.68,6.9,-0.01,-0.08,-0.25,0.0,t
3041.0,4095.0,3454.0,3847.0,3413.0,3220.0,3344.0,3231.0,-4.36,8.62,6.72,0.07,-0.04,-0.22,0.0,t
3038.0,4095.0,3456.0,3857.0,3429.0,3216.0,3350.0,3232.0,-4.2,8.7,6.54,0.08,-0.03,-0.18,0.0,t
3037.0,4095.0,3459.0,3858.0,3426.0,3221.0,3344.0,3226.0,-4.31,8.55,6.55,0.14,-0.17,-0.17,0.0,t
3031.0,4095.0,3465.0,3886.0,3429.0,3227.0,3350.0,3233.0,-4.07,8.15,6.14,0.15,-0.07,-0.16,0.0,t
3031.0,4095.0,3453.0,3886.0,3423.0,3230.0,3349.0,3229.0,-3.85,8.45,5.93,0.08,-0.15,-0.16,0.0,t
3036.0,4095.0,3465.0,3888.0,3430.0,3231.0,3351.0,3232.0,-4.28,8.44,6.24,-0.04,0.02,-0.2,0.0,t
3034.0,4095.0,3457.0,3888.0,3426.0,3233.0,3351.0,3235.0,-4.6,8.35,6.67,-0.0,-0.09,-0.14,0.0,t
3038.0,4095.0,3456.0,3890.0,3437.0,3237.0,3344.0,3227.0,-4.27,8.77,6.63,0.11,-0.09,-0.05,0.0,t
3036.0,4095.0,3463.0,3873.0,3438.0,3229.0,3344.0,3231.0,-3.57,8.84,6.52,0.13,-0.21,-0.12,0.0,t
3037.0,4095.0,3449.0,3854.0,3439.0,3227.0,3335.0,3226.0,-3.87,8.89,6.52,0.08,-0.02,-0.17,0.0,t
3035.0,4095.0,3454.0,3775.0,3441.0,3197.0,3177.0,3203.0,-3.28,8.85,6.3,0.11,-0.36,-0.15,0.0,t
3033.0,4095.0,3466.0,3718.0,3450.0,3190.0,3088.0,3184.0,-4.22,8.64,6.77,0.11,-0.0,-0.14,0.0,t
3033.0,4095.0,3466.0,3670.0,3449.0,3185.0,3065.0,3195.0,-3.69,8.82,6.46,0.27,-0.25,-0.2,0.0,t
3052.0,4095.0,3472.0,3667.0,3456.0,3183.0,3062.0,3201.0,-4.09,8.92,6.01,0.2,0.03,-0.19,0.0,t
3030.0,4095.0,3478.0,3665.0,3443.0,3179.0,3056.0,3200.0,-3.9,8.82,5.96,0.32,-0.1,-0.27,0.0,t
3042.0,4095.0,3472.0,3664.0,3449.0,3187.0,3071.0,3207.0,-4.32,8.83,5.8,0.31,0.04,-0.29,0.0,t
3037.0,4095.0,3466.0,3685.0,3451.0,3200.0,3091.0,3210.0,-4.53,8.88,5.71,0.35,-0.05,-0.29,0.0,t
3043.0,4095.0,3479.0,3681.0,3454.0,3222.0,3082.0,3216.0,-4.37,9.11,5.08,0.12,-0.27,-0.2,0.0,t
3043.0,4095.0,3490.0,3675.0,3455.0,3241.0,3052.0,3211.0,-4.24,8.32,5.72,0.12,-0.03,-0.33,0.0,t
3047.0,4095.0,3487.0,3680.0,3456.0,3248.0,3052.0,3211.0,-5.07,8.73,5.23,0.07,-0.02,-0.27,0.0,t
3034.0,4095.0,3502.0,3669.0,3450.0,3248.0,3057.0,3207.0,-4.22,8.64,5.97,0.04,-0.17,-0.13,0.0,t
3043.0,4095.0,3505.0,3681.0,3456.0,3250.0,3071.0,3210.0,-3.28,8.73,6.14,0.17,-0.21,-0.24,0.0,t
3041.0,4095.0,3495.0,3686.0,3456.0,3249.0,3099.0,3217.0,-3.32,8.47,6.29,0.25,0.03,-0.31,0.0,t
3037.0,4095.0,3504.0,3697.0,3460.0,3247.0,3111.0,3222.0,-4.3,8.31,6.02,0.31,-0.14,-0.33,0.0,t
3044.0,4095.0,3493.0,3707.0,3459.0,3247.0,3109.0,3215.0,-3.42,7.75,4.94,0.43,0.13,-0.34,0.0,t
3050.0,4095.0,3500.0,3710.0,3458.0,3243.0,3113.0,3217.0,-4.83,8.18,5.17,0.25,0.23,-0.41,0.0,t
3039.0,4095.0,3506.0,3715.0,3456.0,3244.0,3115.0,3215.0,-5.24,8.13,4.9,0.36,-0.24,-0.49,0.0,t
3035.0,4095.0,3501.0,3717.0,3456.0,3248.0,3123.0,3215.0,-5.23,8.12,4.61,0.1,-0.19,-0.17,0.0,t
3040.0,4095.0,3503.0,3715.0,3453.0,3248.0,3120.0,3219.0,-5.16,8.06,4.74,0.01,-0.25,-0.07,0.0,t
3029.0,4095.0,3503.0,3719.0,3452.0,3248.0,3126.0,3218.0,-4.87,8.08,4.84,0.03,-0.37,-0.13,0.0,t
3037.0,4095.0,3492.0,3725.0,3455.0,3252.0,3133.0,3218.0,-4.6,7.98,4.75,-0.1,-0.38,-0.33,0.0,t
3041.0,4095.0,3492.0,3733.0,3457.0,3257.0,3130.0,3213.0,-4.44,7.86,5.71,-0.37,-0.33,-0.02,0.0,t
3041.0,4095.0,3487.0,3734.0,3457.0,3254.0,3135.0,3218.0,-5.21,8.17,6.28,-0.2,-0.3,-0.03,0.0,t
3034.0,4095.0,3495.0,3742.0,3459.0,3265.0,3137.0,3216.0,-4.5,8.65,6.18,-0.18,-0.34,0.07,0.0,t
3045.0,4095.0,3497.0,3739.0,3467.0,3261.0,3130.0,3216.0,-4.38,8.87,6.22,-0.11,-0.24,-0.08,0.0,t
3030.0,4095.0,3487.0,3743.0,3456.0,3261.0,3139.0,3221.0,-4.71,8.8,6.27,-0.15,-0.22,-0.15,0.0,t
3039.0,4095.0,3499.0,3754.0,3465.0,3265.0,3142.0,3217.0,-4.43,8.71,6.58,-0.04,-0.54,-0.18,0.0,t
3042.0,4095.0,3486.0,3745.0,3465.0,3264.0,3142.0,3214.0,-3.98,9.29,5.98,-0.14,-0.28,-0.13,0.0,t
3037.0,4095.0,3478.0,3755.0,3459.0,3266.0,3135.0,3215.0,-4.52,8.52,7.11,-0.14,-0.13,-0.03,0.0,t
3029.0,4095.0,3479.0,3743.0,3461.0,3266.0,3140.0,3217.0,-4.22,8.59,6.73,0.01,-0.26,0.0,0.0,t
3039.0,4095.0,3487.0,3743.0,3458.0,3263.0,3139.0,3217.0,-4.26,8.44,6.96,0.14,-0.33,-0.04,0.0,t
3037.0,4095.0,3486.0,3757.0,3471.0,3267.0,3141.0,3218.0,-3.63,8.83,6.71,0.2,-0.31,0.02,0.0,t
3034.0,4095.0,3490.0,3749.0,3457.0,3261.0,3141.0,3218.0,-3.96,8.75,6.62,0.17,-0.29,-0.12,0.0,t
3038.0,4095.0,3490.0,3759.0,3469.0,3273.0,3151.0,3222.0,-3.97,8.61,6.77,0.2,-0.4,-0.12,0.0,t
3042.0,4095.0,3481.0,3752.0,3470.0,3270.0,3152.0,3223.0,-4.07,8.58,6.83,0.12,-0.37,-0.15,0.0,t
3046.0,4095.0,3487.0,3755.0,3459.0,3264.0,3150.0,3218.0,-4.25,8.53,7.04,0.13,-0.32,-0.01,0.0,t
3045.0,4095.0,3489.0,3770.0,3468.0,3261.0,3147.0,3221.0,-4.07,8.53,7.11,0.1,-0.06,-0.03,0.0,t
3034.0,4095.0,3501.0,3760.0,3471.0,3274.0,3152.0,3218.0,-4.35,8.58,6.87,0.02,0.16,-0.07,0.0,t
3039.0,4095.0,3495.0,3765.0,3470.0,3270.0,3152.0,3225.0,-3.87,8.73,6.7,-0.0,0.1,-0.16,0.0,t
3035.0,4095.0,3477.0,3762.0,3458.0,3264.0,3152.0,3222.0,-3.94,8.73,6.96,-0.01,0.12,-0.09,0.0,t
3035.0,4095.0,3489.0,3761.0,3472.0,3269.0,3151.0,3219.0,-3.89,8.94,7.09,-0.04,0.21,-0.12,0.0,t
3040.0,4095.0,3490.0,3761.0,3469.0,3276.0,3154.0,3221.0,-4.31,8.77,6.96,0.04,0.32,-0.15,0.0,t
3034.0,4095.0,3493.0,3769.0,3463.0,3270.0,3151.0,3218.0,-4.17,8.82,6.36,0.03,0.28,-0.2,0.0,t
3051.0,4095.0,3476.0,3764.0,3463.0,3270.0,3151.0,3223.0,-4.63,8.53,5.88,-0.12,0.43,-0.12,0.0,t
3049.0,4095.0,3494.0,3760.0,3466.0,3271.0,3152.0,3223.0,-4.66,8.56,5.93,-0.22,0.31,-0.07,0.0,t
3041.0,4095.0,3479.0,3769.0,3472.0,3276.0,3153.0,3216.0,-4.34,8.45,6.44,-0.36,0.44,0.07,0.0,t
3039.0,4095.0,3488.0,3760.0,3472.0,3280.0,3156.0,3218.0,-3.75,8.35,7.5,-0.26,0.27,0.25,0.0,t
3037.0,4095.0,3487.0,3754.0,3447.0,3280.0,3155.0,3218.0,-3.34,8.54,7.47,-0.21,0.5,0.37,0.0,t
3034.0,4095.0,3483.0,3756.0,3446.0,3280.0,3162.0,3218.0,-2.82,8.7,7.27,-0.11,0.44,0.32,0.0,t
3047.0,4095.0,3486.0,3754.0,3439.0,3283.0,3167.0,3223.0,-2.63,8.65,7.36,0.05,0.22,0.12,0.0,t
3041.0,4095.0,3489.0,3742.0,3439.0,3282.0,3174.0,3220.0,-2.68,9.05,6.66,0.07,0.53,0.03,0.0,t
3030.0,4095.0,3484.0,3754.0,3443.0,3289.0,3179.0,3222.0,-2.92,9.08,6.43,0.04,0.56,0.03,0.0,t
