hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2960.0,2979.0,3071.0,3382.0,4095.0,4095.0,3114.0,3101.0,-1.29,8.49,6.91,-0.4,0.62,0.53,0.0,v
2967.0,2981.0,3085.0,3377.0,4095.0,4095.0,3049.0,3055.0,-0.94,8.89,7.06,-0.29,0.51,0.03,0.0,v
2960.0,2975.0,3087.0,3386.0,4095.0,4095.0,3056.0,3066.0,-0.73,9.26,7.4,-0.43,-0.03,-0.16,0.0,v
2965.0,2977.0,3085.0,3399.0,4095.0,4095.0,3070.0,3091.0,-1.52,9.01,8.18,-0.41,0.36,-0.29,0.0,v
2969.0,2983.0,3071.0,3410.0,4095.0,4095.0,3059.0,3102.0,-2.18,9.23,8.62,-0.16,-0.26,-0.23,0.0,v
2959.0,2974.0,3071.0,3404.0,4095.0,4095.0,3055.0,3104.0,-1.38,9.62,8.16,-0.04,0.03,-0.16,0.0,v
2957.0,2986.0,3071.0,3376.0,4095.0,4095.0,3018.0,3069.0,-2.15,9.3,8.13,0.06,-0.08,-0.27,0.0,v
2945.0,2977.0,3054.0,3221.0,4095.0,4095.0,2956.0,2946.0,-2.23,9.24,7.73,0.11,-0.13,-0.49,0.0,v
2951.0,2978.0,3045.0,3318.0,4095.0,4095.0,3019.0,3027.0,-2.08,9.24,7.67,0.05,-0.36,-0.25,0.0,v
2957.0,2987.0,3039.0,3350.0,4095.0,4095.0,3055.0,3071.0,-1.26,9.29,7.49,0.05,-0.29,-0.45,0.0,v
2957.0,2978.0,3048.0,3373.0,4095.0,4095.0,3031.0,3060.0,-1.45,8.88,8.02,0.22,-0.6,-0.64,0.0,v
2976.0,2977.0,3055.0,3379.0,4095.0,4095.0,3052.0,3095.0,-2.47,8.76,8.27,0.13,-0.23,-0.77,0.0,v
2972.0,2971.0,3042.0,3376.0,4095.0,4095.0,3053.0,3101.0,-3.01,8.58,8.27,0.39,0.02,-0.42,0.0,v
2979.0,2983.0,3056.0,3387.0,4095.0,4095.0,3052.0,3098.0,-2.36,8.74,7.51,0.26,-0.73,-0.5,0.0,v
