hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3179.0,3463.0,4095.0,3403.0,4095.0,4095.0,4095.0,3607.0,0.98,10.5,3.3,-0.2,-0.26,-0.05,1.0,good-bye
2993.0,3121.0,3453.0,3397.0,3631.0,3920.0,4095.0,2942.0,-3.58,6.01,-0.4,-0.8,0.84,0.93,1.0,good-bye
2979.0,3081.0,3454.0,3366.0,3825.0,3737.0,4095.0,3409.0,-0.14,9.48,1.51,0.4,0.07,-1.07,1.0,good-bye
3088.0,4025.0,3984.0,3657.0,4095.0,4095.0,4095.0,3802.0,-0.5,9.85,3.64,-0.75,-1.57,-0.35,1.0,good-bye
3088.0,3440.0,3550.0,3746.0,4095.0,4095.0,4095.0,2730.0,-1.49,9.72,3.29,0.48,1.67,0.78,1.0,good-bye
2950.0,3107.0,3328.0,3471.0,3472.0,3165.0,3509.0,2927.0,-0.34,11.84,2.98,0.17,-0.61,0.04,1.0,good-bye
2946.0,3141.0,3472.0,3365.0,3712.0,3822.0,4095.0,3189.0,-1.83,10.95,-1.3,1.12,-0.74,-1.5,1.0,good-bye
3970.0,4095.0,3403.0,3631.0,4095.0,4095.0,4095.0,3726.0,0.99,9.68,3.2,-0.09,-0.94,0.23,1.0,good-bye
3664.0,4095.0,3785.0,3641.0,4095.0,4095.0,4095.0,3307.0,-1.41,9.56,2.5,0.06,-0.16,-0.03,1.0,good-bye
3583.0,4095.0,4095.0,3621.0,4095.0,4095.0,4095.0,2785.0,-0.98,9.9,1.94,-0.06,0.19,0.01,1.0,good-bye
3568.0,4095.0,4095.0,3635.0,4095.0,4095.0,4095.0,3632.0,-0.71,9.71,2.26,-0.07,0.1,0.01,1.0,good-bye
3555.0,4095.0,4095.0,3647.0,4095.0,4095.0,4095.0,3664.0,-0.87,9.8,2.14,0.01,0.1,-0.14,1.0,good-bye
3553.0,4095.0,4095.0,3643.0,4095.0,4095.0,4095.0,3719.0,-0.89,9.66,2.22,-0.07,0.13,-0.02,1.0,good-bye
