hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3053.0,3131.0,3062.0,3691.0,3089.0,2818.0,2861.0,2357.0,-2.32,9.41,5.71,-0.02,0.03,0.06,0.0,t
3055.0,3127.0,3065.0,3711.0,3090.0,2821.0,2859.0,2363.0,-2.03,9.48,5.76,0.01,0.04,-0.01,0.0,t
3046.0,3120.0,3063.0,3723.0,3088.0,2810.0,2855.0,2363.0,-2.11,9.48,5.77,0.01,0.0,-0.08,0.0,t
3039.0,3123.0,3086.0,3728.0,3103.0,2808.0,2859.0,2357.0,-1.95,9.48,5.69,0.02,-0.03,-0.12,0.0,t
3052.0,3127.0,3059.0,3719.0,3094.0,2802.0,2855.0,2358.0,-2.19,9.51,5.76,-0.02,-0.06,-0.12,0.0,t
3047.0,3136.0,3071.0,3738.0,3105.0,2802.0,2863.0,2357.0,-2.11,9.51,5.74,-0.03,0.02,-0.07,0.0,t
3056.0,3120.0,3068.0,3741.0,3107.0,2807.0,2863.0,2363.0,-2.11,9.53,5.83,-0.04,0.02,-0.04,0.0,t
3047.0,3119.0,3056.0,3728.0,3102.0,2789.0,2861.0,2365.0,-1.69,9.5,5.71,-0.06,0.0,-0.03,0.0,t
3055.0,3139.0,3071.0,3747.0,3107.0,2800.0,2867.0,2370.0,-1.75,9.53,5.85,-0.07,-0.06,-0.08,0.0,t
3050.0,3129.0,3064.0,3738.0,3113.0,2798.0,2859.0,2365.0,-1.69,9.56,6.01,-0.15,-0.09,-0.1,0.0,t
3060.0,3146.0,3067.0,3743.0,3110.0,2806.0,2871.0,2372.0,-1.46,9.48,6.25,-0.2,-0.06,-0.09,0.0,t
3052.0,3131.0,3059.0,3756.0,3107.0,2795.0,2861.0,2374.0,-1.67,9.42,6.58,-0.19,-0.11,-0.09,0.0,t
3056.0,3138.0,3057.0,3770.0,3120.0,2805.0,2865.0,2377.0,-1.38,9.42,6.81,-0.2,-0.05,-0.07,0.0,t
3055.0,3133.0,3059.0,3743.0,3109.0,2800.0,2866.0,2381.0,-1.25,9.36,7.1,-0.16,-0.08,-0.1,0.0,t
3054.0,3143.0,3071.0,3755.0,3116.0,2800.0,2866.0,2381.0,-1.18,9.27,7.35,-0.11,-0.14,-0.13,0.0,t
3049.0,3126.0,3058.0,3758.0,3115.0,2800.0,2862.0,2375.0,-1.06,9.31,7.42,-0.1,-0.04,-0.12,0.0,t
3047.0,3131.0,3062.0,3771.0,3123.0,2800.0,2866.0,2378.0,-1.01,9.3,7.33,-0.02,0.01,-0.13,0.0,t
3055.0,3142.0,3058.0,3760.0,3120.0,2789.0,2864.0,2382.0,-1.15,9.26,7.42,-0.01,-0.08,-0.2,0.0,t
3056.0,3137.0,3079.0,3756.0,3117.0,2795.0,2864.0,2384.0,-1.38,9.27,7.41,-0.02,-0.04,-0.15,0.0,t
3056.0,3136.0,3088.0,3774.0,3122.0,2800.0,2876.0,2391.0,-1.27,9.27,7.44,-0.01,0.05,-0.13,0.0,t
3039.0,3120.0,3063.0,3773.0,3133.0,2807.0,2874.0,2384.0,-0.97,9.28,7.5,0.02,0.02,-0.04,0.0,t
3049.0,3136.0,3058.0,3778.0,3136.0,2804.0,2881.0,2385.0,-0.78,9.29,7.52,0.01,0.05,-0.08,0.0,t
3062.0,3136.0,3069.0,3772.0,3133.0,2800.0,2878.0,2391.0,-0.75,9.27,7.53,-0.02,-0.06,-0.11,0.0,t
3058.0,3136.0,3071.0,3770.0,3147.0,2806.0,2879.0,2395.0,-0.82,9.28,7.56,0.01,-0.01,-0.11,0.0,t
3052.0,3136.0,3084.0,3781.0,3149.0,2805.0,2880.0,2395.0,-0.75,9.26,7.56,-0.01,-0.04,-0.08,0.0,t
3043.0,3137.0,3056.0,3765.0,3134.0,2802.0,2879.0,2393.0,-0.73,9.26,7.6,-0.05,-0.05,-0.05,0.0,t
3056.0,3146.0,3071.0,3787.0,3143.0,2800.0,2880.0,2399.0,-0.4,9.27,7.64,-0.05,-0.01,-0.05,0.0,t
3048.0,3131.0,3063.0,3791.0,3137.0,2800.0,2876.0,2396.0,-0.34,9.19,7.85,-0.05,-0.03,-0.09,0.0,t
3054.0,3131.0,3067.0,3795.0,3149.0,2802.0,2880.0,2395.0,-0.36,9.19,7.85,-0.02,-0.03,-0.1,0.0,t
3055.0,3136.0,3069.0,3782.0,3140.0,2799.0,2878.0,2397.0,-0.31,9.24,7.76,-0.03,0.01,-0.12,0.0,t
3055.0,3137.0,3069.0,3793.0,3147.0,2802.0,2883.0,2401.0,-0.17,9.22,7.82,-0.03,-0.01,-0.13,0.0,t
3057.0,3126.0,3067.0,3786.0,3143.0,2798.0,2871.0,2399.0,-0.22,9.19,7.94,-0.01,0.06,-0.14,0.0,t
3067.0,3141.0,3071.0,3789.0,3151.0,2806.0,2892.0,2410.0,-0.22,9.22,7.88,0.01,-0.02,-0.16,0.0,t
3051.0,3123.0,3057.0,3790.0,3149.0,2800.0,2881.0,2401.0,-0.33,9.2,7.86,-0.01,-0.05,-0.14,0.0,t
3055.0,3129.0,3062.0,3799.0,3152.0,2800.0,2887.0,2406.0,-0.32,9.19,8.01,-0.01,0.02,-0.13,0.0,t
