hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3439.0,3943.0,2992.0,3195.0,3413.0,2589.0,3084.0,4095.0,5.63,8.04,3.39,-0.03,-0.12,-0.0,1.0,j
3437.0,3996.0,2995.0,3190.0,3408.0,2603.0,3071.0,4095.0,5.82,8.25,3.06,-0.02,-0.22,0.08,1.0,j
3433.0,3929.0,2993.0,3215.0,3396.0,2597.0,3087.0,4095.0,6.51,7.93,2.45,-0.07,-0.35,-0.03,1.0,j
3438.0,3948.0,3012.0,3216.0,3377.0,2594.0,3083.0,4095.0,6.29,8.16,-2.72,-1.52,-0.1,-0.66,1.0,j
3429.0,3889.0,2997.0,3220.0,3314.0,2559.0,3063.0,4095.0,0.23,1.94,-5.31,-5.81,0.91,0.17,1.0,j
3414.0,3823.0,3016.0,3350.0,3265.0,2621.0,3089.0,4095.0,-7.03,-16.04,15.64,-7.64,4.76,5.31,1.0,j
3412.0,3728.0,3043.0,3318.0,3190.0,2642.0,3036.0,4095.0,-8.09,-11.65,24.77,3.09,3.11,6.84,1.0,j
3441.0,3766.0,3047.0,3203.0,3344.0,2662.0,3025.0,4095.0,-2.97,-1.32,8.3,3.48,2.48,5.33,1.0,j
3452.0,3737.0,3045.0,3207.0,3266.0,2646.0,3031.0,4095.0,2.12,4.88,6.0,1.56,0.39,2.67,1.0,j
3456.0,3760.0,3041.0,3184.0,3366.0,2653.0,3042.0,4095.0,0.33,7.75,3.72,0.21,0.15,0.17,1.0,j
3442.0,3763.0,3037.0,3186.0,3366.0,2651.0,3041.0,4095.0,-2.96,8.11,4.83,-0.28,0.22,-0.55,1.0,j
3464.0,3764.0,3031.0,3193.0,3401.0,2655.0,3039.0,4095.0,-4.71,8.26,5.35,-0.18,0.01,-0.44,1.0,j
3445.0,3792.0,3034.0,3211.0,3408.0,2654.0,3043.0,4095.0,-3.94,8.03,4.65,-0.12,0.2,-0.01,1.0,j
3459.0,3774.0,3031.0,3215.0,3411.0,2656.0,3037.0,4095.0,-3.5,7.81,4.9,-0.21,-0.12,-0.1,1.0,j
3447.0,3760.0,3024.0,3217.0,3413.0,2659.0,3052.0,4095.0,-3.61,7.99,4.76,-0.1,0.03,-0.05,1.0,j
3447.0,3786.0,3024.0,3211.0,3408.0,2658.0,3053.0,4095.0,-4.1,7.84,4.76,-0.09,0.16,0.01,1.0,j
3472.0,3632.0,3024.0,3225.0,3437.0,2650.0,3045.0,4095.0,-3.82,7.83,5.03,-0.13,0.01,-0.02,1.0,j
3453.0,3803.0,3024.0,3216.0,3438.0,2651.0,3058.0,4095.0,-3.55,7.75,5.18,-0.12,0.1,0.01,1.0,j
3447.0,3786.0,3025.0,3216.0,3433.0,2656.0,3054.0,4095.0,-3.61,7.79,4.95,-0.06,-0.1,-0.03,1.0,j
3452.0,3797.0,3029.0,3228.0,3425.0,2662.0,3056.0,4095.0,-3.77,7.81,4.92,-0.05,-0.07,-0.03,1.0,j
3439.0,3836.0,2976.0,3277.0,3389.0,2618.0,3069.0,4095.0,4.76,9.1,2.65,-0.02,-0.31,-0.02,1.0,j
3441.0,3807.0,2987.0,3282.0,3399.0,2623.0,3063.0,4095.0,4.66,8.68,1.99,-0.15,-0.38,0.02,1.0,j
3423.0,3839.0,2987.0,3278.0,3407.0,2623.0,3051.0,4095.0,5.19,8.14,-0.6,-0.33,-0.38,-0.07,1.0,j
3427.0,3827.0,2988.0,3264.0,3421.0,2603.0,3071.0,4095.0,2.75,5.62,-4.71,-3.56,-0.27,-0.62,1.0,j
3427.0,3749.0,2993.0,3305.0,3314.0,2608.0,3063.0,4095.0,-3.37,-6.41,1.25,-8.26,3.3,2.18,1.0,j
3408.0,3670.0,3024.0,3335.0,3277.0,2658.0,3089.0,4095.0,-16.87,-16.52,26.74,-4.94,6.28,7.04,1.0,j
3399.0,3689.0,3059.0,3331.0,3362.0,2671.0,3045.0,3695.0,-7.16,-5.38,15.54,3.25,3.72,6.42,1.0,j
3449.0,3723.0,3043.0,3270.0,3392.0,2662.0,3056.0,3788.0,0.66,3.25,5.31,1.61,0.37,2.22,1.0,j
3443.0,3719.0,3036.0,3270.0,3408.0,2675.0,3061.0,4095.0,-5.01,5.63,4.41,0.05,0.5,0.09,1.0,j
3434.0,3728.0,3026.0,3293.0,3419.0,2678.0,3070.0,4095.0,-6.92,5.69,4.71,-0.1,0.33,-0.11,1.0,j
3453.0,3744.0,3037.0,3315.0,3425.0,2690.0,3071.0,4095.0,-7.14,6.34,4.39,-0.11,0.3,0.06,1.0,j
3437.0,3723.0,3030.0,3295.0,3415.0,2681.0,3071.0,4095.0,-5.92,6.66,4.29,-0.12,0.43,0.13,1.0,j
3415.0,3745.0,3031.0,3309.0,3440.0,2683.0,3071.0,4095.0,-5.68,6.58,3.99,-0.09,0.27,0.11,1.0,j
3430.0,3721.0,3030.0,3311.0,3423.0,2688.0,3062.0,4095.0,-5.83,6.47,3.76,-0.17,0.09,-0.0,1.0,j
3429.0,3717.0,3023.0,3307.0,3429.0,2688.0,3083.0,4095.0,-6.53,6.3,4.16,-0.11,0.13,-0.02,1.0,j
3429.0,3750.0,3035.0,3327.0,3430.0,2688.0,3071.0,4095.0,-6.77,6.57,3.58,-0.13,0.03,0.0,1.0,j
3434.0,3750.0,3033.0,3317.0,3435.0,2691.0,3066.0,4095.0,-6.0,6.51,4.07,-0.1,-0.02,-0.02,1.0,j
3439.0,3729.0,3026.0,3313.0,3402.0,2688.0,3071.0,4095.0,-6.66,6.22,3.95,-0.04,0.03,-0.11,1.0,j
3433.0,3743.0,3018.0,3311.0,3403.0,2694.0,3071.0,4095.0,-6.29,6.5,3.6,-0.11,0.08,-0.05,1.0,j
3430.0,3728.0,3023.0,3302.0,3406.0,2688.0,3070.0,4095.0,-6.25,6.32,4.09,-0.07,0.08,-0.03,1.0,j
3430.0,3639.0,2986.0,3310.0,3423.0,2647.0,3090.0,4095.0,3.96,8.82,3.11,-0.01,-0.1,-0.02,1.0,j
3450.0,3636.0,2995.0,3309.0,3436.0,2655.0,3104.0,4095.0,4.83,8.54,2.16,0.27,0.08,0.17,1.0,j
3467.0,3674.0,2980.0,3281.0,3415.0,2661.0,3094.0,4095.0,5.39,8.49,-3.27,-1.38,-0.03,-0.61,1.0,j
3414.0,3599.0,2989.0,3314.0,3344.0,2604.0,3085.0,4095.0,2.3,2.11,-1.5,-5.38,0.7,-0.08,1.0,j
3414.0,3489.0,2985.0,3345.0,3312.0,2655.0,3108.0,4095.0,-4.1,-5.53,8.56,-6.4,5.74,2.15,1.0,j
3411.0,3381.0,3017.0,3382.0,3345.0,2671.0,3117.0,4095.0,-14.17,-4.91,23.38,-1.13,6.25,5.61,1.0,j
3410.0,3418.0,3046.0,3321.0,3376.0,2681.0,3083.0,4095.0,-8.68,2.86,6.93,1.07,2.9,4.14,1.0,j
3440.0,3457.0,3046.0,3277.0,3422.0,2695.0,3071.0,3696.0,-3.51,3.92,3.91,0.06,0.91,1.83,1.0,j
3436.0,3504.0,3039.0,3280.0,3455.0,2699.0,3088.0,3569.0,-5.6,5.29,3.41,-0.56,0.3,0.17,1.0,j
3441.0,3535.0,3046.0,3278.0,3452.0,2703.0,3083.0,3575.0,-6.47,6.66,2.48,-0.11,0.0,-0.04,1.0,j
3456.0,3517.0,3026.0,3280.0,3470.0,2704.0,3086.0,3678.0,-7.12,6.84,3.2,0.06,0.12,0.05,1.0,j
3443.0,3511.0,3030.0,3283.0,3449.0,2704.0,3083.0,3657.0,-6.77,6.86,2.9,-0.05,-0.03,0.04,1.0,j
3422.0,3527.0,3032.0,3291.0,3458.0,2710.0,3088.0,4095.0,-6.31,6.99,2.71,0.02,-0.06,0.05,1.0,j
3442.0,3546.0,3046.0,3293.0,3472.0,2704.0,3094.0,4095.0,-6.25,7.0,2.46,-0.11,0.01,0.07,1.0,j
3449.0,3541.0,3046.0,3290.0,3466.0,2705.0,3091.0,4095.0,-6.13,6.96,2.68,-0.13,0.0,-0.0,1.0,j
3439.0,3543.0,3026.0,3283.0,3471.0,2701.0,3102.0,4095.0,-6.32,7.02,2.72,-0.1,0.02,-0.06,1.0,j
3459.0,3572.0,3031.0,3297.0,3473.0,2702.0,3101.0,4095.0,-6.38,7.12,2.6,-0.11,0.05,-0.04,1.0,j
3446.0,3563.0,3028.0,3297.0,3466.0,2707.0,3091.0,4095.0,-6.32,7.08,2.69,-0.08,0.05,-0.03,1.0,j
3439.0,3571.0,3034.0,3301.0,3467.0,2711.0,3091.0,4095.0,-6.36,7.01,2.65,-0.12,0.0,-0.02,1.0,j
3425.0,3583.0,3031.0,3295.0,3475.0,2706.0,3098.0,4095.0,-6.34,6.9,2.81,-0.09,-0.06,-0.0,1.0,j
3440.0,3569.0,3022.0,3327.0,3433.0,2691.0,3107.0,4095.0,5.37,8.25,3.32,-0.05,-0.24,0.05,1.0,j
3451.0,3577.0,3009.0,3327.0,3441.0,2687.0,3108.0,4095.0,5.23,8.29,3.04,-0.15,-0.04,0.08,1.0,j
3437.0,3567.0,2997.0,3324.0,3425.0,2674.0,3109.0,4095.0,5.09,7.94,3.22,-0.26,-0.21,-0.16,1.0,j
3457.0,3583.0,3010.0,3330.0,3439.0,2685.0,3115.0,4095.0,5.83,8.34,1.79,-0.47,-0.27,-0.19,1.0,j
3461.0,3599.0,3007.0,3335.0,3431.0,2675.0,3118.0,4095.0,6.56,6.38,-0.14,-1.9,0.31,-0.67,1.0,j
3444.0,3536.0,3018.0,3325.0,3446.0,2647.0,3102.0,4095.0,-0.22,-0.34,-4.35,-6.81,5.25,-0.27,1.0,j
3409.0,3492.0,3071.0,3373.0,3351.0,2683.0,3116.0,4095.0,-18.08,-3.34,16.01,-4.11,7.52,3.24,1.0,j
3398.0,3504.0,3120.0,3361.0,3367.0,2698.0,3071.0,4095.0,-7.72,1.24,13.65,0.53,3.62,3.66,1.0,j
3420.0,3545.0,3120.0,3331.0,3436.0,2704.0,3071.0,4095.0,-7.11,3.15,5.06,0.51,1.96,2.63,1.0,j
3449.0,3582.0,3120.0,3325.0,3452.0,2705.0,3088.0,4095.0,-5.41,4.76,3.58,0.33,0.41,0.85,1.0,j
3439.0,3583.0,3118.0,3317.0,3457.0,2708.0,3082.0,4095.0,-7.09,6.13,1.38,0.07,0.15,0.04,1.0,j
3430.0,3605.0,3124.0,3329.0,3456.0,2717.0,3087.0,4095.0,-6.92,6.6,1.53,-0.06,0.04,-0.0,1.0,j
3445.0,3583.0,3120.0,3329.0,3463.0,2707.0,3071.0,4095.0,-6.65,6.72,1.63,0.04,0.11,0.01,1.0,j
3438.0,3602.0,3129.0,3344.0,3457.0,2711.0,3085.0,4095.0,-6.68,6.68,1.58,-0.06,-0.05,0.04,1.0,j
3433.0,3619.0,3106.0,3339.0,3472.0,2708.0,3071.0,4095.0,-6.73,6.75,1.34,-0.03,0.07,0.09,1.0,j
3433.0,3600.0,3115.0,3344.0,3472.0,2706.0,3083.0,4095.0,-6.93,6.56,1.43,-0.13,0.2,0.06,1.0,j
3426.0,3626.0,3106.0,3344.0,3469.0,2718.0,3091.0,4095.0,-6.75,6.73,1.35,-0.08,0.12,-0.07,1.0,j
3429.0,3583.0,3125.0,3328.0,3472.0,2721.0,3091.0,4095.0,-7.38,6.53,1.42,-0.03,0.16,-0.13,1.0,j
3421.0,3617.0,3115.0,3344.0,3470.0,2720.0,3093.0,4095.0,-7.46,6.42,1.19,0.11,0.2,-0.05,1.0,j
3444.0,3607.0,3111.0,3343.0,3481.0,2704.0,3090.0,4095.0,-6.81,6.81,0.96,0.07,0.01,-0.0,1.0,j
