hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2897.0,2955.0,3006.0,3344.0,4095.0,4095.0,3229.0,3757.0,-0.23,8.85,4.87,-0.03,-0.02,-0.1,1.0,v
2896.0,2955.0,3015.0,3332.0,4095.0,4095.0,3216.0,3755.0,-0.54,9.09,4.96,-0.04,0.03,-0.07,1.0,v
2882.0,2954.0,2998.0,3344.0,4095.0,4095.0,3223.0,3710.0,-0.34,8.94,4.89,-0.07,-0.03,-0.08,1.0,v
2880.0,2950.0,3008.0,3344.0,4095.0,4095.0,3218.0,3754.0,-0.53,8.78,4.92,-0.04,0.0,-0.05,1.0,v
2889.0,2959.0,2999.0,3350.0,4095.0,4095.0,3220.0,3757.0,-0.33,8.8,4.89,-0.01,-0.03,-0.05,1.0,v
2896.0,2954.0,3004.0,3351.0,4095.0,4095.0,3219.0,3735.0,-0.25,8.95,4.74,-0.07,0.03,-0.05,1.0,v
2885.0,2960.0,3003.0,3352.0,4095.0,4095.0,3213.0,3743.0,-0.46,8.84,4.88,-0.09,-0.02,-0.05,1.0,v
2899.0,2955.0,3014.0,3365.0,4095.0,4095.0,3213.0,3754.0,-0.22,8.89,4.98,-0.05,-0.04,-0.07,1.0,v
2890.0,2955.0,2995.0,3363.0,4095.0,4095.0,3222.0,3735.0,-0.53,8.84,4.77,-0.04,-0.01,-0.1,1.0,v
2885.0,2960.0,2995.0,3351.0,4095.0,4095.0,3229.0,3749.0,-0.45,8.92,4.7,0.02,-0.07,-0.09,1.0,v
2902.0,2954.0,3008.0,3347.0,4095.0,4095.0,3213.0,3753.0,-0.33,8.89,4.61,-0.02,-0.12,-0.12,1.0,v
2881.0,2951.0,3021.0,3349.0,4095.0,4095.0,3215.0,3733.0,-0.35,8.96,4.8,-0.07,-0.04,-0.12,1.0,v
2891.0,2958.0,3009.0,3359.0,4095.0,4095.0,3218.0,3733.0,-0.44,8.55,5.37,0.25,0.02,-0.19,1.0,v
2871.0,2958.0,3002.0,3358.0,4095.0,4095.0,3202.0,3721.0,-0.94,9.1,4.4,-0.15,-0.15,0.02,1.0,v
2886.0,2960.0,2998.0,3349.0,4095.0,4095.0,3185.0,3712.0,-0.39,8.8,4.57,-0.11,-0.05,-0.11,1.0,v
2896.0,2949.0,3018.0,3347.0,4095.0,4095.0,3184.0,3726.0,-0.57,8.99,4.73,-0.14,-0.05,-0.1,1.0,v
2880.0,2949.0,3001.0,3307.0,4095.0,4095.0,3198.0,3711.0,-0.58,8.84,4.94,-0.07,-0.01,-0.08,1.0,v
2887.0,2960.0,3001.0,3306.0,4095.0,4095.0,3201.0,3709.0,-0.54,9.14,4.45,-0.06,-0.08,0.04,1.0,v
2878.0,2961.0,3010.0,3312.0,4095.0,4095.0,3195.0,3710.0,-0.45,9.0,4.64,-0.19,-0.02,-0.0,1.0,v
2877.0,2962.0,3005.0,3328.0,4095.0,4095.0,3197.0,3699.0,-0.39,8.79,4.97,-0.14,-0.09,-0.07,1.0,v
2881.0,2947.0,3000.0,3310.0,4095.0,4095.0,3200.0,3698.0,-0.59,8.84,5.02,0.01,0.03,-0.07,1.0,v
2875.0,2960.0,3010.0,3315.0,4095.0,4095.0,3198.0,3696.0,-0.43,8.89,4.78,-0.03,-0.08,-0.07,1.0,v
2885.0,2949.0,3006.0,3339.0,4095.0,4095.0,3193.0,3685.0,-0.57,8.97,4.69,-0.11,0.0,-0.06,1.0,v
2875.0,2953.0,3008.0,3338.0,4095.0,4095.0,3203.0,3690.0,-0.45,8.79,4.89,-0.07,-0.07,-0.07,1.0,v
2886.0,2963.0,3007.0,3333.0,4095.0,4095.0,3195.0,3696.0,-0.52,8.85,4.99,-0.01,-0.01,-0.1,1.0,v
2866.0,2951.0,3003.0,3339.0,4095.0,4095.0,3184.0,3674.0,-0.8,8.74,5.01,0.11,0.04,-0.07,1.0,v
2890.0,2958.0,3002.0,3354.0,4095.0,4095.0,3191.0,3683.0,-0.6,9.17,4.55,-0.16,-0.04,-0.02,1.0,v
2885.0,2965.0,3004.0,3357.0,4095.0,4095.0,3194.0,3695.0,-0.27,8.75,4.93,0.0,-0.06,-0.07,1.0,v
2873.0,2954.0,3009.0,3357.0,4095.0,4095.0,3203.0,3703.0,-0.55,8.95,4.77,-0.21,-0.03,-0.01,1.0,v
2873.0,2957.0,3015.0,3361.0,4095.0,4095.0,3216.0,3691.0,-0.32,9.01,4.78,-0.05,-0.03,-0.07,1.0,v
2880.0,2960.0,2998.0,3373.0,4095.0,4095.0,3203.0,3680.0,-0.56,8.79,4.92,-0.06,-0.04,-0.03,1.0,v
2864.0,2945.0,3005.0,3373.0,4095.0,4095.0,3201.0,3696.0,-0.49,8.88,4.89,-0.05,-0.03,-0.1,1.0,v
2871.0,2963.0,3007.0,3350.0,4095.0,4095.0,3198.0,3697.0,-0.73,8.85,4.85,-0.12,-0.01,-0.04,1.0,v
2880.0,2945.0,3006.0,3387.0,4095.0,4095.0,3197.0,3711.0,-0.49,8.74,5.13,-0.03,-0.01,-0.0,1.0,v
2874.0,2958.0,3003.0,3376.0,4095.0,4095.0,3205.0,3712.0,-0.56,8.84,4.97,-0.03,0.02,-0.03,1.0,v
2867.0,2950.0,3003.0,3376.0,4095.0,4095.0,3203.0,3718.0,-0.35,8.77,4.93,0.01,-0.03,-0.03,1.0,v
2882.0,2960.0,3007.0,3382.0,4095.0,4095.0,3197.0,3703.0,-0.5,8.8,4.96,0.03,-0.04,-0.06,1.0,v
2882.0,2964.0,3013.0,3371.0,4095.0,4095.0,3197.0,3703.0,-0.43,8.9,4.83,0.01,-0.02,-0.04,1.0,v
2864.0,2959.0,3009.0,3378.0,4095.0,4095.0,3210.0,3702.0,-0.34,8.93,4.68,-0.03,-0.03,0.0,1.0,v
2873.0,2949.0,3003.0,3385.0,4095.0,4095.0,3200.0,3700.0,-0.37,8.88,4.85,-0.01,0.07,0.16,1.0,v
2864.0,2959.0,3005.0,3370.0,4095.0,4095.0,3211.0,3698.0,-0.16,9.01,4.83,0.07,0.05,0.07,1.0,v
2874.0,2953.0,3006.0,3376.0,4095.0,4095.0,3211.0,3703.0,0.13,9.0,4.89,0.04,0.03,0.07,1.0,v
2863.0,2947.0,3011.0,3377.0,4095.0,4095.0,3197.0,3685.0,-0.02,9.0,4.82,0.02,-0.13,-0.1,1.0,v
2858.0,2959.0,3018.0,3366.0,4095.0,4095.0,3204.0,3701.0,0.08,8.96,4.77,0.03,-0.06,-0.2,1.0,v
2862.0,2960.0,3018.0,3378.0,4095.0,4095.0,3205.0,3695.0,-0.56,8.98,4.52,0.06,-0.06,-0.23,1.0,v
2861.0,2953.0,3004.0,3376.0,4095.0,4095.0,3213.0,3682.0,-0.4,9.02,4.6,0.01,-0.04,-0.18,1.0,v
2858.0,2951.0,3009.0,3360.0,4095.0,4095.0,3190.0,3663.0,-0.94,8.76,4.71,0.12,0.07,-0.0,1.0,v
2862.0,2954.0,2996.0,3379.0,4095.0,4095.0,3194.0,3666.0,-0.52,9.14,4.43,0.19,0.2,0.01,1.0,v
2857.0,2951.0,3014.0,3385.0,4095.0,4095.0,3200.0,3648.0,-1.1,8.88,4.32,0.05,0.54,0.1,1.0,v
2854.0,2943.0,3009.0,3389.0,4095.0,4095.0,3196.0,3601.0,-1.04,9.42,3.58,0.19,-0.24,0.01,1.0,v
2865.0,2966.0,3006.0,3381.0,4095.0,4095.0,3207.0,3610.0,-0.35,9.24,3.85,0.04,-0.07,0.12,1.0,v
2858.0,2951.0,3007.0,3376.0,4095.0,4095.0,3201.0,3616.0,-0.45,9.44,3.78,0.16,-0.13,-0.04,1.0,v
2846.0,2947.0,2995.0,3391.0,4095.0,4095.0,3197.0,3659.0,-0.4,9.31,3.88,0.05,-0.07,0.11,1.0,v
2864.0,2959.0,3013.0,3401.0,4095.0,4095.0,3201.0,3659.0,-0.34,9.45,3.76,0.01,-0.02,0.0,1.0,v
2851.0,2956.0,3001.0,3401.0,4095.0,4095.0,3211.0,3661.0,-0.29,9.45,3.49,-0.06,-0.05,-0.12,1.0,v
2864.0,2965.0,3008.0,3397.0,4095.0,4095.0,3208.0,3661.0,-0.17,9.41,3.87,-0.07,-0.07,-0.16,1.0,v
2864.0,2954.0,3002.0,3404.0,4095.0,4095.0,3205.0,3680.0,-0.52,9.19,3.96,-0.09,-0.12,-0.2,1.0,v
