hall_1_L,hall_2_L,hall_3_L,flex_t_L,flex_i_L,flex_m_L,flex_r_L,flex_p_L,accel_x_L,accel_y_L,accel_z_L,gyro_x_L,gyro_y_L,gyro_z_L,hand,hall_1_R,hall_2_R,hall_3_R,flex_t_R,flex_i_R,flex_m_R,flex_r_R,flex_p_R,accel_x_R,accel_y_R,accel_z_R,gyro_x_R,gyro_y_R,gyro_z_R,hand,sign
3119.0,3750.0,2988.0,4095.0,3874.0,4095.0,4095.0,4095.0,9.26,3.69,5.08,-0.0,0.04,-0.11,0.0,1843.0,4095.0,1182.0,3679.0,4095.0,4095.0,4095.0,4095.0,-9.04,-1.24,2.31,-0.05,0.02,-0.04,1.0,book
3110.0,3730.0,2981.0,4095.0,3878.0,4095.0,4095.0,4095.0,9.08,3.62,5.12,0.0,-0.01,-0.11,0.0,1825.0,4095.0,1202.0,3676.0,4095.0,4095.0,4095.0,4095.0,-8.96,-1.13,2.22,-0.04,-0.02,-0.09,1.0,book
3099.0,3696.0,2994.0,4095.0,3887.0,4095.0,4095.0,4095.0,13.26,4.41,5.38,0.06,0.09,-0.57,0.0,1799.0,4095.0,1183.0,3642.0,4095.0,4095.0,4095.0,4095.0,-12.48,-2.34,2.84,-0.07,0.25,0.29,1.0,book
3088.0,3693.0,2960.0,4049.0,3843.0,4046.0,4095.0,4095.0,8.05,4.6,4.85,1.05,-2.95,-2.52,0.0,1327.0,4095.0,1318.0,3479.0,4095.0,4095.0,4095.0,4095.0,-8.27,-0.04,3.26,-0.7,2.77,1.81,1.0,book
3103.0,2943.0,2960.0,4095.0,3827.0,3903.0,4095.0,4095.0,-0.17,3.39,1.84,1.03,-4.44,-0.57,0.0,1167.0,4095.0,1232.0,3383.0,4095.0,4095.0,4095.0,4095.0,-1.57,1.84,-2.04,-0.47,4.2,0.59,1.0,book
3111.0,2925.0,2976.0,4095.0,3837.0,3952.0,4095.0,4095.0,6.97,2.18,-2.55,2.16,-1.4,1.17,0.0,1173.0,4095.0,1232.0,3392.0,4095.0,4095.0,4095.0,4095.0,-5.69,-0.8,-4.24,1.05,1.66,-1.86,1.0,book
3093.0,2881.0,2960.0,4095.0,3863.0,3935.0,4095.0,4095.0,8.56,5.05,-7.03,0.4,-0.01,0.37,0.0,1174.0,4095.0,1226.0,3467.0,4095.0,4095.0,4095.0,4095.0,-11.93,-2.76,-9.89,0.26,0.13,-0.63,1.0,book
3103.0,2864.0,2965.0,4095.0,3861.0,3941.0,4095.0,4095.0,6.1,3.91,-3.81,-0.11,0.08,-0.15,0.0,1162.0,4095.0,1221.0,3472.0,4095.0,4095.0,4095.0,4095.0,-7.37,-0.5,-5.72,-0.23,-0.14,0.05,1.0,book
3111.0,2859.0,2968.0,4095.0,3879.0,3914.0,4095.0,4095.0,5.81,3.11,-3.43,-0.07,0.25,-0.08,0.0,1174.0,4095.0,1233.0,3494.0,4095.0,4095.0,4095.0,4095.0,-7.52,-1.4,-6.14,-0.03,-0.23,0.03,1.0,book
3118.0,2853.0,2960.0,4095.0,3874.0,3914.0,4095.0,4095.0,5.77,3.46,-3.22,-0.11,0.23,-0.14,0.0,1183.0,4095.0,1225.0,3519.0,4095.0,4095.0,4095.0,4095.0,-7.48,-1.09,-5.62,-0.12,-0.1,0.02,1.0,book
3127.0,2864.0,2957.0,4095.0,3859.0,3919.0,4095.0,4095.0,6.06,3.32,-3.05,-0.03,0.08,-0.14,0.0,1174.0,4095.0,1231.0,3491.0,4095.0,4095.0,4095.0,4095.0,-7.3,-0.86,-5.47,-0.16,0.01,-0.03,1.0,book
3139.0,2877.0,2967.0,4095.0,3857.0,3935.0,4095.0,4095.0,6.13,3.39,-2.95,0.0,0.05,-0.12,0.0,1168.0,4095.0,1216.0,3536.0,4095.0,4095.0,4095.0,4095.0,-7.41,-1.12,-5.5,-0.09,-0.09,-0.02,1.0,book
3152.0,2865.0,2971.0,4095.0,3857.0,3919.0,4095.0,4095.0,6.1,3.45,-3.12,0.0,-0.01,-0.13,0.0,1167.0,4095.0,1237.0,3582.0,4095.0,4095.0,4095.0,4095.0,-7.52,-1.11,-5.36,-0.06,-0.04,-0.04,1.0,book
3150.0,2867.0,2970.0,4095.0,3857.0,3920.0,4095.0,4095.0,6.02,3.32,-2.84,-0.02,0.01,-0.15,0.0,1181.0,4095.0,1211.0,3568.0,4095.0,4095.0,4095.0,4095.0,-7.36,-1.06,-5.37,-0.06,0.01,-0.02,1.0,book
3155.0,2877.0,2960.0,4095.0,3865.0,3921.0,4095.0,4095.0,6.15,3.4,-2.96,0.01,-0.04,-0.13,0.0,1163.0,4095.0,1232.0,3581.0,4095.0,4095.0,4095.0,4095.0,-7.61,-1.03,-5.41,-0.06,-0.01,-0.04,1.0,book
3161.0,2861.0,2959.0,4095.0,3863.0,3921.0,4095.0,4095.0,6.27,3.38,-3.0,0.02,-0.04,-0.13,0.0,1168.0,4095.0,1232.0,3583.0,4095.0,4095.0,4095.0,4095.0,-7.58,-1.02,-5.5,-0.05,0.01,-0.05,1.0,book
3158.0,2867.0,2971.0,4095.0,3872.0,3930.0,4095.0,4095.0,6.19,3.35,-2.91,0.01,0.0,-0.14,0.0,1172.0,4095.0,1221.0,3579.0,4095.0,4095.0,4095.0,4095.0,-7.57,-1.08,-5.38,-0.0,-0.01,-0.08,1.0,book
