hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2997.0,3472.0,3391.0,4095.0,2753.0,2170.0,2458.0,2074.0,-1.19,9.76,4.38,0.02,-0.03,-0.18,0.0,t
2992.0,3469.0,3406.0,4095.0,2766.0,2167.0,2448.0,2078.0,-1.31,9.81,4.35,0.01,0.0,-0.17,0.0,t
2992.0,3459.0,3403.0,4095.0,2767.0,2170.0,2453.0,2066.0,-1.12,9.77,4.42,0.02,-0.04,-0.14,0.0,t
2992.0,3471.0,3395.0,4095.0,2757.0,2169.0,2459.0,2071.0,-1.14,9.83,4.42,0.01,0.01,-0.16,0.0,t
2983.0,3461.0,3397.0,4095.0,2755.0,2176.0,2461.0,2078.0,-1.17,9.84,4.36,0.02,-0.04,-0.16,0.0,t
2993.0,3481.0,3393.0,4095.0,2768.0,2175.0,2463.0,2073.0,-1.25,9.79,4.45,0.03,0.01,-0.18,0.0,t
2994.0,3457.0,3393.0,4095.0,2769.0,2176.0,2467.0,2084.0,-1.28,9.83,4.49,-0.01,-0.02,-0.18,0.0,t
2989.0,3461.0,3407.0,4095.0,2768.0,2180.0,2459.0,2082.0,-1.24,9.77,4.36,0.03,0.0,-0.17,0.0,t
2999.0,3463.0,3403.0,4095.0,2768.0,2178.0,2459.0,2080.0,-1.31,9.81,4.35,0.03,-0.01,-0.15,0.0,t
2981.0,3462.0,3401.0,4095.0,2774.0,2182.0,2467.0,2090.0,-1.3,9.81,4.49,0.02,0.01,-0.17,0.0,t
2993.0,3467.0,3399.0,4095.0,2767.0,2181.0,2459.0,2085.0,-1.07,9.72,4.41,0.04,-0.0,-0.16,0.0,t
2997.0,3466.0,3394.0,4095.0,2768.0,2186.0,2465.0,2090.0,-1.37,9.72,4.43,0.03,-0.03,-0.16,0.0,t
2985.0,3461.0,3402.0,4095.0,2775.0,2187.0,2463.0,2090.0,-1.44,9.77,4.34,0.03,-0.07,-0.14,0.0,t
2992.0,3459.0,3390.0,4095.0,2768.0,2178.0,2466.0,2085.0,-1.36,9.8,4.38,-0.03,-0.04,-0.14,0.0,t
2992.0,3495.0,3398.0,4095.0,2777.0,2179.0,2464.0,2090.0,-1.33,9.83,4.36,0.02,0.01,-0.16,0.0,t
3001.0,3469.0,3406.0,4095.0,2774.0,2186.0,2475.0,2093.0,-1.3,9.78,4.38,0.02,-0.02,-0.15,0.0,t
2992.0,3472.0,3401.0,4095.0,2771.0,2186.0,2468.0,2093.0,-1.4,9.79,4.29,0.04,-0.01,-0.16,0.0,t
2992.0,3475.0,3397.0,4095.0,2772.0,2185.0,2473.0,2093.0,-1.51,9.81,4.41,0.02,0.01,-0.14,0.0,t
2992.0,3454.0,3408.0,4095.0,2774.0,2159.0,2471.0,2094.0,-1.33,9.76,4.36,0.02,-0.01,-0.16,0.0,t
2990.0,3463.0,3393.0,4095.0,2770.0,2185.0,2471.0,2095.0,-1.44,9.71,4.31,-0.0,0.0,-0.16,0.0,t
3005.0,3459.0,3403.0,4095.0,2782.0,2174.0,2477.0,2096.0,-1.47,9.79,4.24,0.01,0.0,-0.14,0.0,t
2992.0,3471.0,3391.0,4095.0,2770.0,2183.0,2480.0,2099.0,-1.56,9.73,4.41,-0.02,-0.01,-0.13,0.0,t
2994.0,3467.0,3397.0,4095.0,2785.0,2187.0,2472.0,2095.0,-1.33,9.77,4.44,0.02,0.02,-0.13,0.0,t
2983.0,3469.0,3402.0,4095.0,2783.0,2186.0,2480.0,2095.0,-1.44,9.78,4.34,0.0,0.01,-0.14,0.0,t
2990.0,3464.0,3406.0,4095.0,2783.0,2192.0,2474.0,2108.0,-1.21,9.82,4.31,0.02,-0.03,-0.13,0.0,t
2991.0,3485.0,3387.0,4095.0,2784.0,2182.0,2468.0,2099.0,-1.24,9.82,4.39,0.02,-0.07,-0.13,0.0,t
2992.0,3457.0,3407.0,4095.0,2785.0,2188.0,2480.0,2094.0,-1.27,9.83,4.34,0.0,-0.03,-0.15,0.0,t
2997.0,3467.0,3408.0,4095.0,2782.0,2179.0,2469.0,2105.0,-1.2,9.85,4.2,0.01,-0.02,-0.14,0.0,t
2991.0,3463.0,3393.0,4095.0,2774.0,2189.0,2475.0,2097.0,-1.24,9.8,4.34,0.0,-0.01,-0.15,0.0,t
2995.0,3461.0,3398.0,4095.0,2787.0,2190.0,2478.0,2101.0,-1.28,9.83,4.25,0.02,0.01,-0.15,0.0,t
2990.0,3462.0,3397.0,4095.0,2782.0,2199.0,2477.0,2094.0,-1.32,9.79,4.27,0.04,0.04,-0.16,0.0,t
2997.0,3458.0,3389.0,4095.0,2780.0,2192.0,2483.0,2062.0,-1.43,9.82,4.42,-0.01,0.03,-0.15,0.0,t
2985.0,3473.0,3394.0,4095.0,2780.0,2192.0,2475.0,2096.0,-1.13,9.86,4.23,0.02,-0.01,-0.12,0.0,t
2989.0,3479.0,3391.0,4095.0,2776.0,2189.0,2467.0,2096.0,-1.22,9.77,4.4,0.04,-0.01,-0.16,0.0,t
2989.0,3459.0,3401.0,4095.0,2780.0,2198.0,2479.0,2108.0,-1.37,9.78,4.24,0.08,0.02,-0.17,0.0,t
2993.0,3469.0,3397.0,4095.0,2789.0,2184.0,2475.0,2096.0,-1.28,9.76,4.36,0.02,-0.0,-0.15,0.0,t
